observation_id,selection,overlap_family,parent_id,reason,evidence,duplicate_of,analysis_target,alignment_status,threshold_route,metric_usability,reverse_exposure_supported,cohort_period_key,setting_handling,overlap_status,source_locator,historical_study_id,historical_role
4:incidence:overall:injuryLocation_ankle_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_ankle|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryLocation_ankle_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryLocation_foot_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_foot|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryLocation_foot_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryLocation_hip_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_hip|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryLocation_hip_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryLocation_knee_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_knee|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryLocation_knee_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryLocation_lower_leg_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_lower_leg|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryLocation_lower_leg_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryLocation_thigh_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_thigh|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryLocation_thigh_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryTissueType_bone_fracture_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_bone_fracture|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryTissueType_bone_fracture_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryTissueType_concussion_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_concussion|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryTissueType_concussion_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_ligament_joint_capsule|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryTissueType_muscle_injury_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_muscle_injury|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryTissueType_muscle_injury_incidence; sourceDataRow=4,S009,
4:incidence:overall:injuryTissueType_superficial_contusion_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_superficial_contusion|sensitivity,supported,sensitivity,descriptive_only,false,S009|4|Row 1|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=4:incidence:overall:injuryTissueType_superficial_contusion_incidence; sourceDataRow=4,S009,
5:incidence:overall:main,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|all_injuries|sensitivity,supported,sensitivity,count_hour,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:main; sourceDataRow=5,S009,
5:incidence:match:main,hold,S009,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present; alignment-decisions.csv metric/threshold hold,,incidence|match|all_injuries_scope_review|sensitivity,hold,sensitivity,none,false,S009|5|Row 2|varies by team (4-58 months),separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:match:main; sourceDataRow=5,S009,
5:incidence:training:main,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|training|all_injuries|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:training:main; sourceDataRow=5,S009,
5:incidence:overall:injuryLocation_ankle_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_ankle|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryLocation_ankle_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryLocation_foot_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_foot|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryLocation_foot_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryLocation_hip_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_hip|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryLocation_hip_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryLocation_knee_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_knee|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryLocation_knee_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryLocation_lower_leg_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_lower_leg|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryLocation_lower_leg_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryLocation_thigh_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_thigh|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryLocation_thigh_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryTissueType_bone_fracture_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_bone_fracture|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryTissueType_bone_fracture_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryTissueType_concussion_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_concussion|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryTissueType_concussion_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_ligament_joint_capsule|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryTissueType_muscle_injury_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_muscle_injury|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryTissueType_muscle_injury_incidence; sourceDataRow=5,S009,
5:incidence:overall:injuryTissueType_superficial_contusion_incidence,select,S009,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_superficial_contusion|sensitivity,supported,sensitivity,descriptive_only,false,S009|5|Row 2|varies by team (4-58 months),separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=5:incidence:overall:injuryTissueType_superficial_contusion_incidence; sourceDataRow=5,S009,
6:incidence:overall:main,hold,S010,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md; historical-ledger lookup found no exact current study-ID link; alignment-decisions.csv metric/threshold hold,,incidence|overall|concussion_scope_review|hold,hold,hold,descriptive_only,false,S010|6|Row 1|1 tournament,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,existing_source_family_policy_applies,injury-analysis-master.csv observation_id=6:incidence:overall:main; sourceDataRow=6,S010,policy_link_unresolved
6:incidence:match:main,hold,S010,,Held because the final alignment record does not support this source metric or threshold route.,standardised.csv notes; ../fifa-gbi-data-extraction/docs/source-family-overlap-methodology-2026-07-27.md; historical-ledger lookup found no exact current study-ID link; alignment-decisions.csv metric/threshold hold,,incidence|match|concussion_scope_review|hold,hold,hold,descriptive_only,false,S010|6|Row 1|1 tournament,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,existing_source_family_policy_applies,injury-analysis-master.csv observation_id=6:incidence:match:main; sourceDataRow=6,S010,policy_link_unresolved
7:incidence:overall:main,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|all_injuries|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:main; sourceDataRow=7,S012,
7:incidence:match:main,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|match|all_injuries|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:match:main; sourceDataRow=7,S012,
7:incidence:training:main,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|training|all_injuries|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_component_setting_do_not_pool_with_overall_combined_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:training:main; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_ankle_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_ankle|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_ankle_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_foot_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_foot|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_foot_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_head_neck_overall_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_head_neck_overall|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_head_neck_overall_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_hip_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_hip|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_hip_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_knee_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_knee|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_knee_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_lower_leg_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_lower_leg|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_lower_leg_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_lower_limb_overall_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_lower_limb_overall|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_lower_limb_overall_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_thigh_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_thigh|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_thigh_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_trunk_overall_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_trunk_overall|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_trunk_overall_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryLocation_upper_limb_overall_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryLocation_upper_limb_overall|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryLocation_upper_limb_overall_incidence; sourceDataRow=7,S012,
7:incidence:overall:injuryTissueType_bone_fracture_incidence,select,S012,,Selected as a separately reported named stratum. No parent representation was selected as a duplicate for this target. Retain the shared paper family for later dependence handling.,standardised.csv source row; candidate review flag multiple_rows_same_paper where present,,incidence|overall|injuryTissueType_bone_fracture|sensitivity,supported,sensitivity,descriptive_only,false,S012|7|Row 1|5,separate_target_overall_combined_do_not_pool_with_match_or_training_components_same_likelihood,multiple_rows_same_paper_relation_unresolved,injury-analysis-master.csv observation_id=7:incidence:overall:injuryTissueType_bone_fracture_incidence; sourceDataRow=7,S012,
