study_id,paper_ids_in_working_master,source_rows,overlap_family,historical_role,anchor_study_id,relationship,selection_purpose,observations,all_injury_observations,restricted_target_observations,select_observations,duplicate_observations,hold_observations,evidence,ledger_locator
S104,S104,152,caribbean-women-league,anchor,,,"family anchor, selectable for its all-injury target",1,1,0,0,0,1,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=caribbean-women-league; studyId=S104
S112,S112,160;161;162;163;164,uefa-wecis-women,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",52,20,32,39,0,13,Exact DOI 10.1136/bjsports-2023-107133 and source-verified live rows.,source-family-decision-ledger-2026-07-27.json family=uefa-wecis-women; studyId=S112
S115,S115,169;170,french-academy-workload,anchor,,,"family anchor, selectable for its all-injury target",2,2,0,2,0,0,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=french-academy-workload; studyId=S115
S1229,S1229,174;175;176;177;178,ghana-academy-2021-22,anchor,,,"family anchor, selectable for its all-injury target",15,15,0,3,0,12,Full epidemiology paper.,source-family-decision-ledger-2026-07-27.json family=ghana-academy-2021-22; studyId=S1229
S1304,S1304,181,new-zealand-female-team-2022-23,anchor,,,"family anchor, selectable for its all-injury target",2,2,0,0,0,2,All-injury source.,source-family-decision-ledger-2026-07-27.json family=new-zealand-female-team-2022-23; studyId=S1304
S139,S139,186,epl-workload-model,anchor,,,"family anchor, selectable for its all-injury target",2,2,0,2,0,0,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=epl-workload-model; studyId=S139
S1431,S261,449,aspetar-aspire-academy,nested_subset,S076,nested,"nested subset for all-injury and distinct restricted targets; duplicate only for target-matched anchor outcomes, otherwise selectable specialist outcome",11,3,8,3,8,0,"Matching academy, nested ages and three seasons within the S076 four-season period.",source-family-decision-ledger-2026-07-27.json family=aspetar-aspire-academy; studyId=S1431
S2813,S2813,475,dutch-growth-injuries-2021-22,anchor,,,"family anchor, selectable for its distinct restricted target",1,0,1,0,0,1,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=dutch-growth-injuries-2021-22; studyId=S2813
S2824,S2824,480;489;490;491;492,aspetar-qsl-professional,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",46,7,39,38,8,0,"Existing Aspetar source ledger, primary PDFs and exact live row denominators.",source-family-decision-ledger-2026-07-27.json family=aspetar-qsl-professional; studyId=S2824
S417,S417,708;709;710,english-professional-clubs-1994-97,anchor,,,"family anchor, selectable for its all-injury target",7,7,0,7,0,0,Primary prospective cohort.,source-family-decision-ledger-2026-07-27.json family=english-professional-clubs-1994-97; studyId=S417
S421,S421,721;722;723;724,australian-academy-2017-20,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",20,4,16,17,0,3,Full/partial time-loss source with complete cohort denominator.,source-family-decision-ledger-2026-07-27.json family=australian-academy-2017-20; studyId=S421
S428,S428,739,spanish-groin-2015-16,anchor,,,"family anchor, selectable for its distinct restricted target",2,0,2,2,0,0,Direct full-season source.,source-family-decision-ledger-2026-07-27.json family=spanish-groin-2015-16; studyId=S428
S4629,S4629,787,korean-youth-2021,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",28,1,27,1,0,27,Broad cohort source.,source-family-decision-ledger-2026-07-27.json family=korean-youth-2021; studyId=S4629
S481,S481,856;857,fifa11-kids-multicountry,anchor,,,"family anchor, selectable for its all-injury target",2,2,0,0,0,2,Primary multicountry cluster trial.,source-family-decision-ledger-2026-07-27.json family=fifa11-kids-multicountry; studyId=S481
S602,S602,1044,aspetar-afc-multicountry,separate_family,,,"separate family, selectable for its distinct restricted target",29,0,29,29,0,0,Existing Aspetar ledger and source-verified pooled/year rows.,source-family-decision-ledger-2026-07-27.json family=aspetar-afc-multicountry; studyId=S602
S605,S605,1049;1050;1051,norway-cup-2005-08,anchor,,,"family anchor, selectable for its all-injury target",6,6,0,0,0,6,Later complete publication.,source-family-decision-ledger-2026-07-27.json family=norway-cup-2005-08; studyId=S605
S989,S989,1172,brazil-shoulder-2016-19,anchor,,,"family anchor, selectable for its all-injury and distinct restricted targets",10,1,9,9,1,0,"Bibliographic identity confirmed by normalised title, archived duplicate record, matching source data, or exact registered file identity.",source-family-decision-ledger-2026-07-27.json family=brazil-shoulder-2016-19; studyId=S989
UEFA-ECIS-MASTER,UEFA-ECIS-MASTER,1174,uefa-ecis-men,anchor,,,"family anchor, selectable for its all-injury target",3,3,0,3,0,0,"Existing UEFA master source audit, plus live row-level denominator verification.",source-family-decision-ledger-2026-07-27.json family=uefa-ecis-men; studyId=UEFA-ECIS-MASTER
