observation_id,outcome_scope,raw_outcome_scope,location,type,diagnosis,threshold_route,metric_alignment_status,reason,evidence,paper_id,sourceDataRow,metric,setting,metric_usability,evidence_grade,scope_alignment_status,adjudicated_outcome_scope,pair_review_status,source_title,time_loss_definition,exposure_method_status,reverse_exposure_supported,reverse_exposure_route,reverse_exposure_player_hours,reverse_exposure_evidence,model_eligibility,verified_injury_count,count_alignment_evidence,reported_rate_alignment,reported_time_loss_rate_per_1000,calculated_crude_count_rate_per_1000,published_rate_method,canonical_scope_basis,burden_numerator_hours_available,verified_days_lost,days_alignment_evidence,prefit_gate
4:incidence:overall:injuryLocation_ankle_incidence,injuryLocation_ankle,injuryLocation_ankle,ankle,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_ankle_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_ankle,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryLocation_foot_incidence,injuryLocation_foot,injuryLocation_foot,foot,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.",analysis master: source CSV: injuryLocation_foot_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_foot,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryLocation_hip_incidence,injuryLocation_hip,injuryLocation_hip,hip,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_hip_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_hip,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryLocation_knee_incidence,injuryLocation_knee,injuryLocation_knee,knee,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_knee_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_knee,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryLocation_lower_leg_incidence,injuryLocation_lower_leg,injuryLocation_lower_leg,lower leg,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_lower_leg_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_lower_leg,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryLocation_thigh_incidence,injuryLocation_thigh,injuryLocation_thigh,thigh,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_thigh_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_thigh,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryTissueType_bone_fracture_incidence,injuryTissueType_bone_fracture,injuryTissueType_bone_fracture,,bone fracture,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_bone_fracture_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_bone_fracture,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryTissueType_concussion_incidence,injuryTissueType_concussion,injuryTissueType_concussion,,concussion,Concussion,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_concussion_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_concussion,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence,injuryTissueType_ligament_joint_capsule,injuryTissueType_ligament_joint_capsule,,ligament joint capsule,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_ligament_joint_capsule_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_ligament_joint_capsule,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryTissueType_muscle_injury_incidence,injuryTissueType_muscle_injury,injuryTissueType_muscle_injury,,muscle injury,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_muscle_injury_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_muscle_injury,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
4:incidence:overall:injuryTissueType_superficial_contusion_incidence,injuryTissueType_superficial_contusion,injuryTissueType_superficial_contusion,,superficial contusion,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_superficial_contusion_incidence,S009,4,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_superficial_contusion,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:main,all_injuries,all_injuries_scope_review,,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved extraction has an aligned count and player-hour denominator.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",S009,5,incidence,overall,count_hour,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:match:main,all_injuries_scope_review,all_injuries_scope_review,,,,sensitivity,hold,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The saved source context flags a numerator, days or denominator mismatch for this metric.","analysis master: source CSV: injuryMatchCount, injuryIncidenceMatch, matchExposure",S009,5,incidence,match,none,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:training:main,all_injuries,all_injuries_scope_review,,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTrainingCount, injuryIncidenceTraining, trainingExposure",S009,5,incidence,training,descriptive_only,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryLocation_ankle_incidence,injuryLocation_ankle,injuryLocation_ankle,ankle,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_ankle_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_ankle,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryLocation_foot_incidence,injuryLocation_foot,injuryLocation_foot,foot,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.",analysis master: source CSV: injuryLocation_foot_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_foot,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryLocation_hip_incidence,injuryLocation_hip,injuryLocation_hip,hip,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_hip_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_hip,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryLocation_knee_incidence,injuryLocation_knee,injuryLocation_knee,knee,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_knee_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_knee,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryLocation_lower_leg_incidence,injuryLocation_lower_leg,injuryLocation_lower_leg,lower leg,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_lower_leg_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_lower_leg,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryLocation_thigh_incidence,injuryLocation_thigh,injuryLocation_thigh,thigh,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryLocation_thigh_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryLocation_thigh,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryTissueType_bone_fracture_incidence,injuryTissueType_bone_fracture,injuryTissueType_bone_fracture,,bone fracture,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_bone_fracture_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_bone_fracture,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryTissueType_concussion_incidence,injuryTissueType_concussion,injuryTissueType_concussion,,concussion,Concussion,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_concussion_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_concussion,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryTissueType_ligament_joint_capsule_incidence,injuryTissueType_ligament_joint_capsule,injuryTissueType_ligament_joint_capsule,,ligament joint capsule,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_ligament_joint_capsule_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_ligament_joint_capsule,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryTissueType_muscle_injury_incidence,injuryTissueType_muscle_injury,injuryTissueType_muscle_injury,,muscle injury,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_muscle_injury_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_muscle_injury,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
5:incidence:overall:injuryTissueType_superficial_contusion_incidence,injuryTissueType_superficial_contusion,injuryTissueType_superficial_contusion,,superficial contusion,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. The study uses a sole time-loss definition, which applies to this reported detailed rate; no conflicting source-context flag is retained.",analysis master: source CSV: injuryTissueType_superficial_contusion_incidence,S009,5,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope_from_sole_time_loss_definition,restricted: injuryTissueType_superficial_contusion,not_matching_pair,Ekstrand J. and Hagglund M. and Fuller C.W. - 2011 - Comparison of injuries sustained on artificial turf and grass by male and female elite football play.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
6:incidence:overall:main,concussion_scope_review,concussion_scope_review,,,concussion,hold,hold,"The saved source wording does not identify a separable time-loss outcome. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTimeLossCount, injuryIncidenceTimeLossOverall, totalExposure",S010,6,incidence,overall,descriptive_only,saved extraction/source context,supported_restricted_scope,restricted: concussion,not_matching_pair,Junge - 2015 - Football injuries during the 2014 FIFA World Cup..pdf,any musculoskeletal complaint (including concussion) incurred during a match that received medical attention from the team physician regardless of absence from match or training,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
6:incidence:match:main,concussion_scope_review,concussion_scope_review,,,concussion,hold,hold,"The saved source wording does not identify a separable time-loss outcome. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryMatchTimeLossCount, injuryIncidenceTimeLossMatch, matchExposure",S010,6,incidence,match,descriptive_only,saved extraction/source context,supported_restricted_scope,restricted: concussion,not_matching_pair,Junge - 2015 - Football injuries during the 2014 FIFA World Cup..pdf,any musculoskeletal complaint (including concussion) incurred during a match that received medical attention from the team physician regardless of absence from match or training,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
7:incidence:overall:main,all_injuries,all_injuries_scope_review,,,,sensitivity,supported,"The source labels the outcome time loss, but its threshold is unconfirmed. The approved protocol routes this to threshold sensitivity, not a global hold. A source-extracted rate is retained, but no count/hour pair or confidence interval is available for the numerical model route.","analysis master: source CSV: injuryTotalCount, injuryIncidenceOverall, totalExposure",S012,7,incidence,overall,descriptive_only,saved extraction/source context,supported_all_injury_scope,all_injuries,not_matching_pair,Larruskain J. and Lekue J.A. and Diaz N. and Odriozola A. and Gil S.M.     AO  - Larruskain J. et al. - 2018 - A comparison of injuries in elite male and female football players A five-season prospective study.pdf,time-loss,not_individually_adjudicated,false,not_assessed,,,false,,,,,,,,,,,
