observation_id,paper_id,sourceDataRow,setting,observed_count,reported_rate_per_1000,source_incidence_definition,reverse_exposure_supported,approximate_exposure_player_hours,route,reason_or_evidence
571:incidence:match:main,S3407,571,match,24,22.27,time-loss injuries per 1000 player-hours,true,1077.682982,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
572:incidence:match:main,S3407,572,match,23,20.41,time-loss injuries per 1000 player-hours,true,1126.898579,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
614:incidence:overall:main,S382,614,overall,79,6.8,injuries per 1000 hours of soccer exposure,true,11617.64706,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
617:incidence:overall:main,S387,617,overall,199,1.2,"injuries per 1000 hours of play during training, matches, and total exposure",true,165833.3333,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
617:incidence:match:main,S387,617,match,60,4.7,"injuries per 1000 hours of play during training, matches, and total exposure",true,12765.95745,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
617:incidence:training:main,S387,617,training,139,0.9,"injuries per 1000 hours of play during training, matches, and total exposure",true,154444.4444,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
640:incidence:overall:main,S3935,640,overall,26,2.1,time-loss injuries per 1000 player-hours,true,12380.95238,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
640:incidence:match:main,S3935,640,match,8,13.5,time-loss injuries per 1000 player-hours,true,592.5925926,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
640:incidence:training:main,S3935,640,training,18,1.5,time-loss injuries per 1000 player-hours,true,12000,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
641:incidence:overall:main,S394,641,overall,524,7.2,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
642:incidence:overall:main,S394,642,overall,473,7.3,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
643:incidence:overall:main,S394,643,overall,387,6.8,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
644:incidence:overall:main,S394,644,overall,416,8.3,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
645:incidence:overall:main,S394,645,overall,354,7.3,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
646:incidence:overall:main,S394,646,overall,312,6.6,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
647:incidence:overall:main,S394,647,overall,281,6.6,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
648:incidence:overall:main,S394,648,overall,292,6.7,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
649:incidence:overall:main,S394,649,overall,190,4.8,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
650:incidence:overall:main,S394,650,overall,158,3.7,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
651:incidence:overall:main,S394,651,overall,131,4,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
652:incidence:overall:main,S394,652,overall,382,7.1,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
653:incidence:overall:main,S394,653,overall,100,5,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
654:incidence:overall:main,S394,654,overall,35,4.3,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
655:incidence:overall:main,S394,655,overall,41,5.7,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
656:incidence:overall:main,S394,656,overall,17,3.6,injuries per 1000 h,false,,not_supported,compatible_exposure_unit
660:incidence:overall:main,S3944,660,overall,74,0.15,match- and training-related apophyseal injuries per 1000 player-hours,true,493333.3333,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
661:incidence:overall:main,S3944,661,overall,230,0.42,match- and training-related apophyseal injuries per 1000 player-hours,true,547619.0476,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
662:incidence:overall:main,S3944,662,overall,112,0.38,match- and training-related apophyseal injuries per 1000 player-hours,true,294736.8421,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
663:incidence:overall:main,S3944,663,overall,37,0.1,match- and training-related apophyseal injuries per 1000 player-hours,true,370000,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
669:incidence:overall:main,S3953,669,overall,75,1.97,non-contact lower-limb injuries per 1000 athlete-hours of training and match exposure,false,,not_supported,compatible_exposure_unit
673:incidence:overall:main,S3972,673,overall,20,4.5,non-contact time-loss injuries per 1000 player-hours,true,4444.444444,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
682:incidence:overall:main,S403,682,overall,313,10.9,injuries per 1000 hours of exposure,true,28715.59633,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
682:incidence:match:main,S403,682,match,184,44.1,injuries per 1000 hours of exposure,true,4172.335601,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
682:incidence:training:main,S403,682,training,129,5.2,injuries per 1000 hours of exposure,true,24807.69231,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
687:incidence:match:main,S407,687,match,41,8.86,injuries per 1000 hours of exposure,true,4627.539503,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
687:incidence:training:main,S407,687,training,64,2.51,injuries per 1000 hours of exposure,true,25498.00797,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
688:incidence:match:main,S407,688,match,1,0.39,injuries per 1000 hours of exposure,true,2564.102564,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
688:incidence:training:main,S407,688,training,6,0.69,injuries per 1000 hours of exposure,true,8695.652174,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
689:incidence:match:main,S407,689,match,4,3.57,injuries per 1000 hours of exposure,true,1120.448179,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
689:incidence:training:main,S407,689,training,23,3.96,injuries per 1000 hours of exposure,true,5808.080808,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
690:incidence:match:main,S407,690,match,12,80,injuries per 1000 hours of exposure,true,150,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
690:incidence:training:main,S407,690,training,11,2.89,injuries per 1000 hours of exposure,true,3806.228374,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
691:incidence:match:main,S407,691,match,11,32.32,injuries per 1000 hours of exposure,true,340.3465347,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
691:incidence:training:main,S407,691,training,6,1.79,injuries per 1000 hours of exposure,true,3351.955307,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
692:incidence:match:main,S407,692,match,13,29,injuries per 1000 hours of exposure,true,448.2758621,approximate_exposure_sensitivity_only,"Saved master retains an observed count, a same-setting crude per-1,000-hour rate and a compatible time-loss definition. Rounded-rate inversion is approximate only; no model eligibility."
